case_id,side_mapping_corrected,destination_file,source_file
600125,False,600125-Sacrum.stl,600125-Sacrum.stl
600127,False,600127-LeftHipBone.stl,600127-LeftHipBone.stl
600127,False,600127-RightHipBone.stl,600127-RightHipBone.stl
600127,False,600127-Sacrum.stl,600127-Sacrum.stl
600128,True,600128-LeftHipBone.stl,600128-RightHipBone.stl
600128,True,600128-RightHipBone.stl,600128-LeftHipBone.stl
600128,True,600128-Sacrum.stl,600128-Sacrum.stl
600129,False,600129-LeftHipBone.stl,600129-LeftHipBone.stl
600129,False,600129-RightHipBone.stl,600129-RightHipBone.stl
600129,False,600129-Sacrum.stl,600129-Sacrum.stl
